repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance
analytics-service,main,yes,yes,yes,"chore/XIPP-12673;chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/XIPP-12331;feat/XIPP-13583;feat/XIPP-15972-NEW;feat/XIPP-15972_DEV;feat/XIPP-15972_STG;feat/XIPP-15972;feat/XIPP-16162;feat/XIPP-17227;feat/XIPP-18058;feat/XIPP-19656-17227-dev;feat/XIPP-19656-17227-stg;feat/XIPP-19656-17227;feat/XIPP-19676;feat/XIPP-19707-dev;feat/XIPP-19707;feat/XIPP-19883;feat/XIPP-19941;feat/XIPP-20078;feat/XIPP-20977-20979-2.84;feat/XIPP-20977-20979;feat/XIPP-20977-dev;feat/XIPP-20977","",PARCIAL
k8s-deploy,main,yes,yes,no,"17.0;18.0;LewFirecode-patch-1;LewFirecode-patch-2-preprod;LewFirecode-patch-2;LewFirecode-patch-3;LewFirecode-patch-4;LewFirecode-patch-5;LewFirecode-patch-6;OD-1.68.1-R0;feat/allow-ide-stg18;feat/standardize-perf-queues-pin-14;feat/standardize-perf-queues-pin-18;feat/start-script;feat/stg18-maintenance-page;fix/chart-1.0.18-body-size;fix/deploy-housekeeping;fix/ide-ingress-stg;fix/ide-slash-stg;fix/longpolling;fix/preprod-workers-memory;fix/prod-dbmaxconn-queue-channels;fix/stg_iir_rule_record_type_id;fix/stg_recreate_base_skip_xipp_refs_off;fix-queue-config;main;ops/stg_scale_up_after_restore;ops/stg_scale_up_211;ops/stg_scale_0_again","",PARCIAL
nifi-registry-bkp,main,yes,yes,yes,"main","",PARCIAL
xipp-doodba-18,master,no,yes,no,"1-5-faturas;1-6-notas-credito;1-22-contrato-oportunidade;1-28-PIS-COFINS;1-41-diarios;1-50-plano-contas;1-82-lancamentos-diario;1-111-fluxo_caixa;1-185-rep_cf_unificada;2-34-NFS-e;2-41-empresas;3-4-credito-pis-cofins;6-21-motivo-cancelamento;18-0-IMP-XIPP-19378;18.0-IMP-XIPP-19378-develop;44-7-Contratos;80-1-solicitação-pagamento;backup/master-pre-reset-681;backup-master;chore/remove-backfill-step;chore/stg-ci-drop-full-test;chore/update_revs_pre_commit;cleanup/dead-code-private-modules;develop;docs/bi-view-schema-gaps-proposal;docs/deterministic-process;docs/ensaio-do-zero-spec;docs/ensaio-runbooks-refactor;feat/XIPP-18568;feat/allow-ide","",NAO_CONFORME
xipp-doodba-14,main,yes,yes,no,"14.0-FIX-XIPP-20998;14.0-IMP-XIPP-13336;14.0-XIPP-13336-parte-2-release-od-1.71;14.0-XIPP-13336-parte-2;14.0-XIPP-16838-fix-button;14.0-XIPP-16838;14.0-XIPP-17052-fix;14.0-XIPP-CNPJ-ALFANUMERICO;14.0-XIPP-CNPJ-ALFANUMERICO-DEVELOP;14.0-fix-XIPP-16927;14.0-fix-XIPP-17014;14.0-fix-XIPP-17099;14.0-fix-compute_valid_until-XIPP-16744;14.0-fix-compute-valid_until-XIPP-16744;14.0-fix-escodoo;14.0-fix-reason-XIPP-17014;14.0-fix-status-medal;14.0-incidente-medalhas-xipp;14.0-traducao-valid_until-XIPP-16774;Bugfix/XIPP-18129-2;Bugfix/XIPP-18334-TO-V75.6;Bugfix/XIPP-18334;Bugfix/XIPP-18429-TO-V75.6;Bugfix/XIPP-18429;Bugfix/XIPP-18439-to-v75.5;Bugfix/XIPP-18439;FIX/INTERFACE;FIX/RUN_ON;FIX/XIPP-15305;FIX/performance","",PARCIAL
insurance-carrier-api,main,yes,yes,yes,"bugfix/ajusteEnums;certificado-bradesco;certificado-bradesco-dev;chore/XIPP-18419;develop_with_main;develop;develop-old;feat/XIPP-12535-16162;feat/XIPP-14098-stage;feat/XIPP-14098;feat/XIPP-15886;feat/XIPP-16039;feat/XIPP-16162-stage;feat/XIPP-16162-workflow;feat/XIPP-16162-workflow-develop;feat/XIPP-16162-workflow-stage;feat/XIPP-16162;feat/XIPP-17851;feat/XIPP-18058;feat/XIPP-18287;feat/XIPP-19457;feat/XIPP-19465-2.81.0;feat/XIPP-19465;feat/XIPP-19780;feat/XIPP-19805;feat/XIPP-19911;feat/XIPP-20078;feat/XIPP-20176;feat/XIPP-20428-stage;feat/XIPP-20428","PRD;PREPRD",PARCIAL
migration,main,yes,yes,yes,"EPIC_XIPP-10268;Pacote_XIPP11031_stage;Pacote_XIPP-7608_develop;Pacote_XIPP-7608_main;Pacote_XIPP-7608_stage;Pacote_XIPP-7608;Pacote_XIPP-9712-stg;Pacote_XIPP-9712_stg;Pacote_XIPP-9712;VERSAO_2_52_0;XIPP_9480_stg2;XIPP-3034;XIPP-7247-prd;XIPP-7247_dev;XIPP-7247_prd;XIPP-7247_stg;XIPP-7247_stg_2;XIPP-7547_dev;XIPP-7547_prd;XIPP-7547_stg;XIPP-8791_dev;XIPP-8791_main;XIPP-8791_prd;XIPP-8791_stg;XIPP-9477_dev;XIPP-9477_stg;XIPP-9480_stg;XIPP-9480;XIPP-9518;XIPP-9637_dev","",PARCIAL
rh-bff-service,main,yes,yes,yes,"bugfix/XIPP-16521-V2;bugfix/XIPP-18098;bugfix/XIPP-19715;chore/XIPP-19758;develop;feat/XIPP-13495-develop;feat/XIPP-13495;feat/XIPP-14438;feat/XIPP-14485;feat/XIPP-14776-develop;feat/XIPP-14776-stage;feat/XIPP-14776;feat/XIPP-14877-develop;feat/XIPP-14877-stage;feat/XIPP-14877;feat/XIPP-15045-develop;feat/XIPP-15045-stage;feat/XIPP-15045;feat/XIPP-15335-dev;feat/XIPP-15335-fix;feat/XIPP-15335-fix-dev;feat/XIPP-15335-fix-stg;feat/XIPP-15335-stg;feat/XIPP-15335;feat/XIPP-15363-dev;feat/XIPP-15363-stg;feat/XIPP-15363;feat/XIPP-15446-dev;feat/XIPP-15446-fix-release;feat/XIPP-15446-stg","",PARCIAL
commons-xipp,main,yes,yes,yes,"6629_dev;6629_stg;EPIC_XIPP-10268;Pacote_XIPP-7608;Pacote_XIPP-9712-dev;Pacote_XIPP-9712_stg;Pacote_XIPP-9712;VERSAO_2_52_0;XIPP-12175;XIPP-12686_main_changelog;XIPP-13041;aa;aaa;bugfix/XIPP-8184;bugfix/XIPP-8211;bugfix/XIPP-8235;bugfix/XIPP-8260;bugfix/XIPP-8325;bugfix/XIPP-8332;bugfix/XIPP-8372;bugfix/XIPP-8530;bugfix/XIPP-8656-v2;bugfix/XIPP-8726_dev;bugfix/XIPP-8726_stg;bugfix/XIPP-8726;bugfix/XIPP-9011;bugfix/XIPP-9169_main;bugfix/XIPP-9169;bugfix/XIPP-9174_dev;bugfix/XIPP-9174_stg","",PARCIAL
odoo-service,main,yes,yes,yes,"ACTUATOR;AV-2759-develop;EPIC_XIPP-10268;actions_cache_changed_to_v4;bugfix/XIPP-9322;bugfix/XIPP-9587_part_1;bugfix/XIPP-9986;bugfix/XIPP-10365;bugfix/XIPP-10498;bugfix/XIPP-12382;bugfix/XIPP-12821;bugfix/XIPP-12987;bugfix/XIPP-13136;bugfix/XIPP-13349-develop;bugfix/XIPP-13349-stage;bugfix/XIPP-13349;bugfix/XIPP-15214-develop;bugfix/XIPP-15214-stage;bugfix/XIPP-15214;bugfix/XIPP-15693;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;develop-XIPP-14076;epic/XIPP-2671-develop;epic/XIPP-2671-stage;epic/XIPP-2671;epic/XIPP-8753-develop;epic/XIPP-8753-stage","",PARCIAL
sdi-service,main,yes,yes,yes,"EPIC_XIPP-10268;Pacote_XIPP-7608;Pacote_XIPP-9712-dev;Pacote_XIPP-9712-stg;Pacote_XIPP-9712_develop;Pacote_XIPP-9712_stg;Pacote_XIPP-9712;VERSAO_2_52_0;XIPP-2.45;XIPP-13041;ajuste_merge;bugfix/XIPP-7707_develop;bugfix/XIPP-7707_stage;bugfix/XIPP-7707;bugfix/XIPP-8055_stage;bugfix/XIPP-8055;bugfix/XIPP-8065_dev;bugfix/XIPP-8065_stage;bugfix/XIPP-8065;bugfix/XIPP-8076_develop;bugfix/XIPP-8076_stg;bugfix/XIPP-8076;bugfix/XIPP-8122;bugfix/XIPP-8161;bugfix/XIPP-8309;bugfix/XIPP-8357;bugfix/XIPP-8369_dev;bugfix/XIPP-8369_stg;bugfix/XIPP-8369;bugfix/XIPP-8374_dev","",PARCIAL
avus-doodba-14,main,yes,yes,no,"14.0-AV-3825-REPROCESSAMENTO-NEW;14.0-AV-3825-xipp_nfse_reprocess;14.0-IMP-AV-4000-CNPJ-NEW;14.0-IMP-AV-4000-CNPJ-NEW-DEV;14.0-IMP-AV-4069;14.0-IMP-AVUS-4000-CNPJ-ALFA-PROD;14.0-addons-l10n_br_nfse_barueri;14.0-avus-barueri-XIPP-15079;14.0-commit-barueri;14.0-commit-main-barueri;14.0-deploy-barueri-main;14.0-fix-XIPP-15079-barueri;14.0-fix-barueri-XIPP-15079;14.0-fix-commit-document_status;14.0-fix-develop-discriminacao-servico;14.0-fix-discrimina-avus-2;14.0-fix-document_status-validade;14.0-fix-fiscal_line_ids-dev;14.0-fix-razao-social-acento;14.0-fix-repos-impostos-retidos;14.0-imp-deploy-seg;14.0-prod-deploy-barueri-fiscal_line_ids;14.0-ref-commit-deploy-avus-barueri;19033-2;AV-3169-develop;AV-3169-stg;AV-3169;AV-3172-2;AV-3172-STG;AV-3192","",PARCIAL
xipp-charts,main,yes,yes,yes,"feat/allow-ide;feat/maintenance-page;feat/probes-ratelimit-pin;fix/ide-ingress-rewrite;fix/ide-trailing-slash;fix/maintenance-logo-data-uri;fix/ratelimit-ingress-body-size;fix/readiness-tcp-v14;gh-pages;main","github-pages",PARCIAL
rpa-procedure-collector-bradesco,main,yes,yes,yes,"feat/XIPP-19702;feat/XIPP-21098;main;prd;stg","PRD;STG",PARCIAL
survey-service,main,yes,yes,yes,"chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/XIPP-12682;feat/XIPP-13583;feat/XIPP-16162-stage;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-19130;feat/XIPP-19391;feat/XIPP-20078;feature/XIPP-9670;feature/XIPP-9851;feature/XIPP-remove-commons-dependency;java_memory_heap;key-vault;key-vault-dev;key-vault-stage;main;main-avus;preprod;release/v2.74.1;release/v2.75.0;release/v2.78.0;release/v2.79.0;release/v2.80.0;snyk-fix-c33abc6c26249a924f73190073914795","",PARCIAL
