repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance,risk_score,risk_level,risk_reasons
sdi-service,main,yes,yes,no,"EPIC_XIPP-10268;Pacote_XIPP-7608;Pacote_XIPP-9712-dev;Pacote_XIPP-9712-stg;Pacote_XIPP-9712_develop;Pacote_XIPP-9712_stg;Pacote_XIPP-9712;VERSAO_2_52_0;XIPP-2.45;XIPP-13041;ajuste_merge;bugfix/XIPP-7707_develop;bugfix/XIPP-7707_stage;bugfix/XIPP-7707;bugfix/XIPP-8055_stage;bugfix/XIPP-8055;bugfix/XIPP-8065_dev;bugfix/XIPP-8065_stage;bugfix/XIPP-8065;bugfix/XIPP-8076_develop;bugfix/XIPP-8076_stg;bugfix/XIPP-8076;bugfix/XIPP-8122;bugfix/XIPP-8161;bugfix/XIPP-8309;bugfix/XIPP-8357;bugfix/XIPP-8369_dev;bugfix/XIPP-8369_stg;bugfix/XIPP-8369;bugfix/XIPP-8374_dev","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
avus-doodba-14,main,yes,yes,no,"14.0-addons-l10n_br_nfse_barueri;14.0-avus-barueri-XIPP-15079;14.0-commit-barueri;14.0-commit-main-barueri;14.0-deploy-barueri-main;14.0-fix-XIPP-15079-barueri;14.0-fix-barueri-XIPP-15079;14.0-fix-commit-document_status;14.0-fix-develop-discriminacao-servico;14.0-fix-discrimina-avus-2;14.0-fix-document_status-validade;14.0-fix-fiscal_line_ids-dev;14.0-fix-razao-social-acento;14.0-fix-repos-impostos-retidos;14.0-imp-deploy-seg;14.0-prod-deploy-barueri-fiscal_line_ids;14.0-ref-commit-deploy-avus-barueri;19033-2;AV-3169-develop;AV-3169-stg;AV-3169;AV-3172-2;AV-3172-STG;AV-3192;AV-3204;AV-3205-stage;AV-3205;AV-3211;AV-3718-develop;IT/XIPP-15291","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
k8s-deploy,main,yes,yes,no,"17.0;18.0;LewFirecode-patch-1;LewFirecode-patch-2-preprod;LewFirecode-patch-2;LewFirecode-patch-3;LewFirecode-patch-4;LewFirecode-patch-5;LewFirecode-patch-6;OD-1.68.1-R0;feat/add-operator;feat/logs-prod;feat/longpolling;feat/start-script;feat/update-chart-dev;fix/longpolling;fix-redeploy;main;new-release-18","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
xipp-doodba-18,master,no,yes,no,"18.0-account_financial_report;18.0-account-analytic;18.0-account-closing;18.0-account-financial-tools;18.0-account-invoicing;18.0-account-move-import;18.0-account-payment;18.0-bank-payment;18.0-contract;18.0-crm;18.0-design-themes;18.0-dms;18.0-escodoo-account-addons;18.0-hr_expenses;18.0-mis_builder;18.0-partner-contact;18.0-queue;18.0-reporting_engine;18.0-rest-framework;18.0-server_tools;18.0-server-backend;18.0-server-env;18.0-server-ux;18.0-social;18.0-storage;18.0-web;XIPP-16382;add/elastic_apm;develop;diff/OD-1.75.5-RC_v2","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
migration,main,yes,yes,yes,"EPIC_XIPP-10268;Pacote_XIPP11031_stage;Pacote_XIPP-7608_develop;Pacote_XIPP-7608_main;Pacote_XIPP-7608_stage;Pacote_XIPP-7608;Pacote_XIPP-9712-stg;Pacote_XIPP-9712_stg;Pacote_XIPP-9712;VERSAO_2_52_0;XIPP_9480_stg2;XIPP-3034;XIPP-7247-prd;XIPP-7247_dev;XIPP-7247_prd;XIPP-7247_stg;XIPP-7247_stg_2;XIPP-7547_dev;XIPP-7547_prd;XIPP-7547_stg;XIPP-8791_dev;XIPP-8791_main;XIPP-8791_prd;XIPP-8791_stg;XIPP-9477_dev;XIPP-9477_stg;XIPP-9480_stg;XIPP-9480;XIPP-9518;XIPP-9637_dev","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
auth-service,main,yes,yes,no,"aa;bugfiix/XIPP-9011;bugfix/XIPP-9161;bugfix/XIPP-13670-devin;bugfix/XIPP-13670-devin-develop;bugfix/XIPP-13670-devin-stage;bugfix/XIPP-16625;chore/XIPP-18419;develop_old;develop_with_main;develop;develop-XIPP-14452;develop-XIPP-14489;feat/AV-2096-prod;feat/AV-2096;feat/AV-2763-develop;feat/AV-2763;feat/XIPP-4880-develop;feat/XIPP-4880-fix;feat/XIPP-4880-fix-dev;feat/XIPP-4880-fix-stg;feat/XIPP-4880;feat/XIPP-13535;feat/XIPP-13583;feat/XIPP-14343;feat/XIPP-14489;feat/XIPP-15597;feat/XIPP-15897;feat/XIPP-16162;feat/XIPP-17460","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
odoo-service,main,yes,yes,yes,"ACTUATOR;AV-2759-develop;EPIC_XIPP-10268;actions_cache_changed_to_v4;bugfix/XIPP-9322;bugfix/XIPP-9587_part_1;bugfix/XIPP-9986;bugfix/XIPP-10365;bugfix/XIPP-10498;bugfix/XIPP-12382;bugfix/XIPP-12821;bugfix/XIPP-12987;bugfix/XIPP-13136;bugfix/XIPP-13349-develop;bugfix/XIPP-13349-stage;bugfix/XIPP-13349;bugfix/XIPP-15214-develop;bugfix/XIPP-15214-stage;bugfix/XIPP-15214;bugfix/XIPP-15693;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;develop-XIPP-14076;epic/XIPP-2671-develop;epic/XIPP-2671-stage;epic/XIPP-2671;epic/XIPP-8753-develop;epic/XIPP-8753-stage","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
survey-service,main,yes,yes,no,"chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/XIPP-12682;feat/XIPP-13583;feat/XIPP-16162-stage;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-19130;feat/XIPP-19391;feature/XIPP-9670;feature/XIPP-9851;feature/XIPP-remove-commons-dependency;java_memory_heap;key-vault;key-vault-dev;key-vault-stage;main;main-avus;preprod;release/v2.74.1;release/v2.75.0;release/v2.78.0;snyk-fix-c33abc6c26249a924f73190073914795;stage;swagger-main;teste-ruleset-github","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
security-service,main,yes,yes,no,"EmailTokenService;bugfix/XIPP-8066;bugfix/XIPP-8656-v2;bugfix/XIPP-8656;bugfix/XIPP-8738;bugfix/XIPP-9011;bugfix/XIPP-9080;bugfix/XIPP-9161;bugfix/XIPP-9457;bugfix/XIPP-9464;bugfix/XIPP-10498;bugfix/XIPP-11438;bugfix/XIPP-12536;bugfix/XIPP-13451;bugfix/XIPP-13670-devin;bugfix/XIPP-13670-devin-develop;bugfix/XIPP-13670-devin-stage;bugfix/XIPP-13962;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;devin/ticket-type-hierarchy-enhancement;devin/ticket-type-hierarchy-enhancement-stage;devin/1746540874-fix-hsts-vulnerability;devin/1746806331-financial-group-ticket-type;devin/1755700173-create-servicos-menu-permission-script;epic/AV-2150-develop;epic/AV-2150-prod;epic/AV-2150-stage","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
contract-service,main,yes,yes,yes,"EPIC_XIPP-10268;Pacote_XIPP-9712_develop;Pacote_XIPP-9712;VERSAO_2_52_0;XIPP-9163-DEV;XIPP-9163-STG;XIPP-9183-DEV;XIPP-9183-STG;XIPP-12175;aaa;backup_main;bugfix/XIPP-8332;bugfix/XIPP-8372-main;bugfix/XIPP-8372_stage;bugfix/XIPP-8372;bugfix/XIPP-8618;bugfix/XIPP-8726_dev;bugfix/XIPP-8726_stg;bugfix/XIPP-8726;bugfix/XIPP-8781;bugfix/XIPP-8842;bugfix/XIPP-9163-develop;bugfix/XIPP-9163-stage;bugfix/XIPP-9163;bugfix/XIPP-9183-stg;bugfix/XIPP-9467-dev;bugfix/XIPP-9467-stg;bugfix/XIPP-9467;bugfix/XIPP-9587-stg;bugfix/XIPP-9587_part_1","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
euprotegido-service,main,yes,yes,yes,"XIPP-7600-9242;bugfix/XIPP-8260;bugfix/XIPP-8332;bugfix/XIPP-9037;bugfix/XIPP-10226_stg;bugfix/XIPP-10226;bugfix/XIPP-10874;bugfix/XIPP-12801;bugfix/XIPP-13070;bugfix/XIPP-13487-develop;bugfix/XIPP-13487-stage;bugfix/XIPP-13487;bugfix/XIPP-13514;bugfix/XIPP-14833;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;epic/XIPP-6484;epic/XIPP-7600;feat/AV-2148-develop;feat/AV-2148-prod;feat/AV-2148-stage;feat/XIPP-12680-develop;feat/XIPP-12680-stage;feat/XIPP-12680;feat/XIPP-13107;feat/XIPP-13583;feat/XIPP-14241-stage;feat/XIPP-14241","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
socialnetwork-service,main,yes,yes,no,"bugfix/XIPP-8530;bugfix/XIPP-12346;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop_with_main;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/AV-2761-develop;feat/AV-2761-stage;feat/AV-2761;feat/RTH-3363;feat/XIPP-12683;feat/XIPP-13414-devin;feat/XIPP-13583;feat/XIPP-13895-dev;feat/XIPP-13895-stg;feat/XIPP-13895;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-18470;feat/XIPP-19130;feat/XIPP-19391;feat/epic-RTH-3302-develop;feat/epic-RTH-3302-stage;feat/epic-RTH-3302;feature/AV-1509;feature/AVF-1477;feature/XIPP-8113_dev","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rh-bff-service,main,yes,yes,yes,"bugfix/XIPP-16521-V2;bugfix/XIPP-18098;develop;feat/XIPP-13495-develop;feat/XIPP-13495;feat/XIPP-14438;feat/XIPP-14485;feat/XIPP-14776-develop;feat/XIPP-14776-stage;feat/XIPP-14776;feat/XIPP-14877-develop;feat/XIPP-14877-stage;feat/XIPP-14877;feat/XIPP-15045-develop;feat/XIPP-15045-stage;feat/XIPP-15045;feat/XIPP-15335-dev;feat/XIPP-15335-fix;feat/XIPP-15335-fix-dev;feat/XIPP-15335-fix-stg;feat/XIPP-15335-stg;feat/XIPP-15335;feat/XIPP-15363-dev;feat/XIPP-15363-stg;feat/XIPP-15363;feat/XIPP-15446-dev;feat/XIPP-15446-fix-release;feat/XIPP-15446-stg;feat/XIPP-15446;feat/XIPP-15480","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
commons-security-xipp,main,yes,yes,no,"feat/XIPP-13495;feat/XIPP-14445;feat/XIPP-15452;feat/XIPP-16162;feat/XIPP-17460;feat/XIPP-19388;feat/XIPP-19391;feature/XIPP-12884;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
